,coef_days,coef_lower_95,coef_upper_95,p_value
Intercept,0.034815320530918334,-0.06642192175702369,0.13605256281886036,0.5002884244599157
"C(insulin_status, Treatment(reference='Steady'))[T.Up]",0.3322184807150106,0.2734616574163668,0.3909753040136544,1.6134163528203085e-28
"C(insulin_status, Treatment(reference='Steady'))[T.Down]",0.12987062884768627,0.07317005611787808,0.18657120157749446,7.156409570911329e-06
"C(insulin_status, Treatment(reference='Steady'))[T.No]",-0.09145998356005561,-0.13694200681718893,-0.045977960302922276,8.109338449551567e-05
age_numeric,0.012580211132506217,0.011343323964304555,0.013817098300707879,3.441000263749051e-88
number_diagnoses,0.1297109679437262,0.11917987199416623,0.14024206389328617,2.8683685782073845e-128
prior_utilization,-0.014903765540755086,-0.022956100644395336,-0.006851430437114834,0.0002861664948548708
num_medications,0.15677606685037915,0.15436490412340942,0.15918722957734888,0.0
